atbats,hits,avg
454,108,0.237885463
261,57,0.218390805
368,96,0.260869565
361,90,0.249307479
362,92,0.254143646
581,148,0.254733219
610,169,0.27704918
425,106,0.249411765
294,62,0.210884354
430,100,0.23255814
520,136,0.261538462
285,66,0.231578947
549,135,0.245901639
308,87,0.282467532
290,62,0.213793103
272,68,0.25
129,26,0.201550388
589,190,0.322580645
620,145,0.233870968
446,139,0.311659193
200,56,0.28
448,80,0.178571429
391,72,0.184143223
558,147,0.26344086
388,108,0.278350515
476,135,0.283613445
331,72,0.217522659
481,129,0.268191268
441,117,0.265306122
477,138,0.289308176
581,177,0.30464716
478,120,0.251046025
350,73,0.208571429
424,99,0.233490566
462,148,0.32034632
523,123,0.235181644
389,81,0.208226221
430,132,0.306976744
335,67,0.2
334,87,0.260479042
374,94,0.251336898
539,134,0.248608534
468,129,0.275641026
519,145,0.27938343
568,156,0.274647887
612,168,0.274509804
