Player,Salary,Age,FG,RB,AST,STL,BLK,PTS
Bradley Beal,4133.28,19,5.035714285714286,3.767857142857143,2.4464285714285716,0.8928571428571429,0.5178571428571429,13.928571428571429
Brandan Wright,992.68,25,3.765625,4.0625,0.59375,0.40625,1.1875,8.453125
Brandon Bass,6000.0,27,3.5308641975308643,5.246913580246914,1.037037037037037,0.5432098765432098,0.7901234567901234,8.654320987654321
Brandon Jennings,3179.493,23,6.2125,3.075,6.5125,1.5625,0.125,17.4625
Brandon Knight,2678.64,21,4.76,3.2933333333333334,4.04,0.7733333333333333,0.10666666666666667,13.32
Brendan Haywood,2050.0,33,1.5245901639344261,4.754098360655738,0.47540983606557374,0.26229508196721313,0.8032786885245902,3.540983606557377
Brian Roberts,473.604,27,2.730769230769231,1.2435897435897436,2.8076923076923075,0.47435897435897434,0.038461538461538464,7.115384615384615
Brook Lopez,13668.75,24,7.702702702702703,6.918918918918919,0.9459459459459459,0.44594594594594594,2.081081081081081,19.41891891891892
Byron Mullens,2253.062,23,4.09433962264151,6.3584905660377355,1.528301886792453,0.6415094339622641,0.6037735849056604,10.641509433962264
C.J. Miles,2225.0,25,3.923076923076923,2.6769230769230767,0.9692307692307692,0.7538461538461538,0.26153846153846155,11.215384615384615
C.J. Watson,992.68,28,2.4,1.8125,2.0125,0.825,0.15,6.7875
Carl Landry,4000.0,29,4.012345679012346,5.962962962962963,0.8024691358024691,0.43209876543209874,0.38271604938271603,10.790123456790123
Carlos Boozer,15000.0,31,6.886075949367089,9.759493670886076,2.2658227848101267,0.8354430379746836,0.35443037974683544,16.21518987341772
Carlos Delfino,3000.0,30,3.746268656716418,3.283582089552239,2.014925373134328,1.0149253731343284,0.13432835820895522,10.567164179104477
Carmelo Anthony,19948.799,28,9.985074626865671,6.865671641791045,2.5522388059701493,0.7761194029850746,0.47761194029850745,28.65671641791045
Caron Butler,8000.0,32,3.91025641025641,2.858974358974359,1.0,0.6538461538461539,0.14102564102564102,10.423076923076923
Cartier Martin,915.852,28,2.341463414634146,2.4390243902439024,0.4878048780487805,0.4634146341463415,0.14634146341463414,6.585365853658536
Chandler Parsons,888.25,24,6.0,5.315789473684211,3.539473684210526,0.9868421052631579,0.42105263157894735,15.486842105263158
Charles Jenkins,762.195,23,0.8305084745762712,0.5423728813559322,0.7457627118644068,0.2542372881355932,0.03389830508474576,1.88135593220339
Charlie Villanueva,8060.0,28,2.536231884057971,3.4927536231884058,0.782608695652174,0.4492753623188406,0.5652173913043478,6.768115942028985
Chase Budinger,942.293,24,3.4347826086956523,3.0869565217391304,1.0869565217391304,0.6086956521739131,0.30434782608695654,9.391304347826088
Chauncey Billups,4000.0,36,2.409090909090909,1.4545454545454546,2.227272727272727,0.5454545454545454,0.045454545454545456,8.363636363636363
Chris Bosh,17545.0,28,6.554054054054054,6.77027027027027,1.662162162162162,0.8918918918918919,1.364864864864865,16.64864864864865
Chris Copeland,473.604,28,3.25,2.125,0.48214285714285715,0.2857142857142857,0.21428571428571427,8.678571428571429
Chris Duhon,3500.0,30,1.0217391304347827,1.4782608695652173,2.891304347826087,0.43478260869565216,0.021739130434782608,2.891304347826087
Chris Kaman,8000.0,30,4.742424242424242,5.636363636363637,0.7727272727272727,0.4393939393939394,0.7878787878787878,10.5
Chris Paul,18091.77,27,5.885714285714286,3.742857142857143,9.685714285714285,2.414285714285714,0.14285714285714285,16.942857142857143
Chris Singleton,1551.84,23,1.6140350877192982,3.2280701754385963,0.6491228070175439,0.6666666666666666,0.42105263157894735,4.052631578947368
Chris Wilcox,854.389,30,1.8032786885245902,2.9508196721311477,0.36065573770491804,0.5245901639344263,0.45901639344262296,4.245901639344262
Chuck Hayes,5486.25,29,1.135135135135135,4.04054054054054,1.5135135135135136,0.4189189189189189,0.24324324324324326,2.675675675675676
Corey Brewer,3243.0,26,4.573170731707317,2.8658536585365852,1.5121951219512195,1.4390243902439024,0.2804878048780488,12.073170731707316
Corey Maggette,10924.138,33,1.5,1.3888888888888888,1.0555555555555556,0.3333333333333333,0.1111111111111111,5.277777777777778
Cory Joseph,1074.72,21,1.8214285714285714,1.8571428571428572,1.8928571428571428,0.5357142857142857,0.14285714285714285,4.5
Courtney Lee,5000.0,27,3.1538461538461537,2.4358974358974357,1.8333333333333333,1.141025641025641,0.2692307692307692,7.846153846153846
D.J. Augustin,3500.0,25,1.355263157894737,1.1973684210526316,2.236842105263158,0.4473684210526316,0.039473684210526314,4.684210526315789
Daequan Cook,3090.942,25,1.0408163265306123,1.2448979591836735,0.3877551020408163,0.16326530612244897,0.14285714285714285,2.795918367346939
Dahntay Jones,2900.0,32,1.0512820512820513,1.294871794871795,0.6153846153846154,0.28205128205128205,0.07692307692307693,3.358974358974359
Damian Lillard,3065.04,22,6.7439024390243905,3.1341463414634148,6.475609756097561,0.9024390243902439,0.23170731707317074,19.048780487804876
Damien Wilkins,854.289,33,2.377049180327869,1.721311475409836,1.4918032786885247,0.6065573770491803,0.29508196721311475,6.360655737704918
Daniel Gibson,4792.332,26,1.826086956521739,1.3043478260869565,1.7826086956521738,0.6521739130434783,0.08695652173913043,5.434782608695652
Danilo Gallinari,9439.0,24,5.126760563380282,5.169014084507042,2.4788732394366195,0.9014084507042254,0.5070422535211268,16.183098591549296
Danny Granger,13258.606,29,2.0,1.8,0.6,0.4,0.2,5.4
Danny Green,3500.0,25,3.7125,3.05,1.7625,1.15,0.675,10.475
Dante Cunningham,2090.0,25,3.925,5.1,0.8375,1.05,0.475,8.6875
Darius Miller,473.604,22,0.8461538461538461,1.5,0.8461538461538461,0.3269230769230769,0.23076923076923078,2.269230769230769
Darius Morris,962.195,22,1.5208333333333333,1.1875,1.5833333333333333,0.4375,0.041666666666666664,4.041666666666667
